"Date","US","East_Coast","New_England","Central_Atlantic","Lower_Atlantic","Midwest","Gulf_Coast","Rocky_Mountain","West_Coast","California","Colorado","Florida","Massachusetts","Minnesota","New_York","Ohio","Texas","Washington"
2001-01-08,1.465,1.44,1.545,1.514,1.382,1.461,1.376,1.47,1.635,1.67,1.457,NA,NA,1.517,1.598,NA,1.362,NA
2001-01-15,1.513,1.486,1.548,1.523,1.456,1.537,1.438,1.464,1.613,1.646,1.475,NA,NA,1.617,1.589,NA,1.423,NA
2001-01-22,1.511,1.497,1.544,1.525,1.473,1.52,1.457,1.462,1.597,1.629,1.493,NA,NA,1.585,1.583,NA,1.451,NA
2001-01-29,1.5,1.493,1.54,1.52,1.471,1.5,1.451,1.462,1.582,1.612,1.5,NA,NA,1.615,1.58,NA,1.442,NA
2001-02-05,1.483,1.48,1.532,1.516,1.452,1.463,1.436,1.48,1.598,1.635,1.519,NA,NA,1.581,1.575,NA,1.424,NA
2001-02-12,1.515,1.492,1.534,1.521,1.469,1.524,1.448,1.48,1.632,1.682,1.516,NA,NA,1.637,1.581,NA,1.435,NA
2001-02-19,1.489,1.482,1.532,1.515,1.455,1.456,1.442,1.474,1.651,1.704,1.511,NA,NA,1.565,1.577,NA,1.427,NA
2001-02-26,1.471,1.472,1.525,1.506,1.444,1.423,1.418,1.469,1.654,1.706,1.502,NA,NA,1.494,1.574,NA,1.401,NA
2001-03-05,1.457,1.455,1.515,1.489,1.425,1.399,1.405,1.461,1.675,1.738,1.483,NA,NA,1.417,1.559,NA,1.371,NA
2001-03-12,1.453,1.438,1.51,1.482,1.402,1.406,1.388,1.476,1.678,1.744,1.471,NA,NA,1.441,1.552,NA,1.36,NA
2001-03-19,1.444,1.424,1.487,1.473,1.386,1.401,1.381,1.468,1.675,1.74,1.461,NA,NA,1.393,1.539,NA,1.354,NA
2001-03-26,1.445,1.421,1.477,1.46,1.391,1.411,1.372,1.474,1.666,1.729,1.473,NA,NA,1.451,1.533,NA,1.359,NA
2001-04-02,1.482,1.435,1.478,1.471,1.409,1.481,1.4,1.497,1.685,1.762,1.532,NA,NA,1.523,1.541,NA,1.393,NA
2001-04-09,1.54,1.495,1.511,1.51,1.484,1.553,1.459,1.525,1.709,1.799,1.549,NA,NA,1.511,1.566,NA,1.459,NA
2001-04-16,1.61,1.571,1.566,1.574,1.571,1.623,1.57,1.546,1.737,1.841,1.58,NA,NA,1.627,1.621,NA,1.565,NA
2001-04-23,1.658,1.609,1.621,1.632,1.595,1.704,1.589,1.589,1.756,1.871,1.662,NA,NA,1.724,1.695,NA,1.593,NA
2001-04-30,1.665,1.623,1.668,1.677,1.586,1.693,1.592,1.633,1.784,1.91,1.683,NA,NA,1.736,1.74,NA,1.601,NA
2001-05-07,1.739,1.659,1.712,1.713,1.621,1.834,1.623,1.684,1.831,1.98,1.78,NA,NA,1.841,1.789,NA,1.634,NA
2001-05-14,1.748,1.67,1.756,1.74,1.617,1.84,1.629,1.697,1.846,1.999,1.791,NA,NA,1.821,1.82,NA,1.644,NA
2001-05-21,1.724,1.663,1.761,1.738,1.605,1.782,1.616,1.701,1.849,1.998,1.783,NA,NA,1.762,1.821,NA,1.623,NA
2001-05-28,1.739,1.671,1.791,1.758,1.602,1.815,1.62,1.714,1.855,1.995,1.802,NA,NA,1.86,1.841,NA,1.631,NA
2001-06-04,1.715,1.658,1.79,1.749,1.585,1.767,1.601,1.716,1.846,1.978,1.816,NA,NA,1.796,1.84,NA,1.613,NA
2001-06-11,1.688,1.655,1.781,1.74,1.558,1.677,1.566,1.707,1.876,1.994,1.785,NA,NA,1.672,1.822,NA,1.577,NA
2001-06-18,1.644,1.629,1.757,1.718,1.529,1.578,1.541,1.692,1.862,1.977,1.757,NA,NA,1.567,1.791,NA,1.561,NA
2001-06-25,1.583,1.596,1.731,1.688,1.491,1.453,1.495,1.657,1.84,1.949,1.705,NA,NA,1.452,1.763,NA,1.511,NA
2001-07-02,1.52,1.546,1.692,1.651,1.43,1.352,1.434,1.621,1.806,1.904,1.652,NA,NA,1.426,1.728,NA,1.445,NA
2001-07-09,1.484,1.511,1.659,1.627,1.385,1.325,1.368,1.584,1.776,1.87,1.598,NA,NA,1.351,1.7,NA,1.373,NA
2001-07-16,1.459,1.475,1.62,1.596,1.345,1.329,1.335,1.543,1.736,1.821,1.544,NA,NA,1.396,1.673,NA,1.337,NA
2001-07-23,1.44,1.447,1.579,1.566,1.323,1.338,1.315,1.504,1.692,1.773,1.481,NA,NA,1.34,1.641,NA,1.32,NA
2001-07-30,1.428,1.424,1.54,1.538,1.308,1.358,1.308,1.47,1.649,1.719,1.426,NA,NA,1.409,1.613,NA,1.311,NA
2001-08-06,1.419,1.413,1.517,1.513,1.31,1.37,1.308,1.44,1.608,1.666,1.389,NA,NA,1.502,1.59,NA,1.308,NA
2001-08-13,1.434,1.42,1.503,1.506,1.333,1.427,1.321,1.437,1.572,1.61,1.382,NA,NA,1.472,1.578,NA,1.318,NA
2001-08-20,1.467,1.43,1.498,1.501,1.358,1.523,1.352,1.472,1.548,1.572,1.49,NA,NA,1.581,1.569,NA,1.352,NA
2001-08-27,1.523,1.429,1.489,1.497,1.361,1.689,1.371,1.533,1.565,1.582,1.628,NA,NA,1.848,1.559,NA,1.365,NA
2001-09-03,1.579,1.457,1.492,1.5,1.416,1.753,1.421,1.607,1.665,1.689,1.701,NA,NA,1.854,1.561,NA,1.412,NA
2001-09-10,1.562,1.455,1.489,1.5,1.412,1.676,1.425,1.615,1.699,1.722,1.675,NA,NA,1.772,1.56,NA,1.423,NA
2001-09-17,1.564,1.465,1.493,1.497,1.434,1.659,1.438,1.615,1.706,1.717,1.664,NA,NA,1.724,1.563,NA,1.441,NA
2001-09-24,1.522,1.449,1.489,1.482,1.413,1.557,1.413,1.598,1.693,1.705,1.635,NA,NA,1.604,1.559,NA,1.411,NA
2001-10-01,1.455,1.407,1.464,1.449,1.36,1.428,1.361,1.568,1.658,1.671,1.579,NA,NA,1.412,1.527,NA,1.356,NA
2001-10-08,1.393,1.362,1.435,1.413,1.304,1.319,1.314,1.538,1.622,1.628,1.527,NA,NA,1.328,1.501,NA,1.308,NA
2001-10-15,1.351,1.325,1.416,1.377,1.262,1.259,1.28,1.508,1.588,1.596,1.477,NA,NA,1.256,1.469,NA,1.274,NA
2001-10-22,1.307,1.287,1.38,1.348,1.217,1.212,1.223,1.461,1.549,1.55,1.403,NA,NA,1.253,1.438,NA,1.214,NA
2001-10-29,1.277,1.255,1.345,1.314,1.187,1.188,1.195,1.415,1.516,1.515,1.345,NA,NA,1.201,1.411,NA,1.191,NA
2001-11-05,1.249,1.224,1.308,1.285,1.155,1.175,1.161,1.366,1.476,1.468,1.277,NA,NA,1.244,1.379,NA,1.155,NA
2001-11-12,1.224,1.198,1.282,1.257,1.132,1.165,1.132,1.317,1.435,1.424,1.229,NA,NA,1.193,1.353,NA,1.123,NA
2001-11-19,1.208,1.173,1.253,1.226,1.113,1.178,1.121,1.277,1.391,1.38,1.192,NA,NA,1.172,1.321,NA,1.11,NA
2001-11-26,1.168,1.144,1.224,1.204,1.078,1.122,1.088,1.238,1.349,1.338,1.161,NA,NA,1.095,1.302,NA,1.077,NA
2001-12-03,1.149,1.122,1.189,1.178,1.063,1.124,1.073,1.198,1.3,1.289,1.115,NA,NA,1.143,1.272,NA,1.064,NA
2001-12-10,1.136,1.113,1.171,1.16,1.063,1.127,1.062,1.168,1.255,1.243,1.099,NA,NA,1.061,1.247,NA,1.053,NA
2001-12-17,1.101,1.1,1.158,1.146,1.051,1.062,1.05,1.14,1.207,1.186,1.081,NA,NA,1.015,1.229,NA,1.04,NA
2001-12-24,1.113,1.104,1.154,1.149,1.058,1.116,1.047,1.129,1.18,1.155,1.104,NA,NA,1.106,1.215,NA,1.037,NA
2001-12-31,1.137,1.12,1.157,1.148,1.089,1.166,1.079,1.129,1.174,1.146,1.112,NA,NA,1.183,1.215,NA,1.067,NA
2002-01-07,1.152,1.14,1.175,1.164,1.112,1.172,1.098,1.135,1.194,1.174,1.112,NA,NA,1.199,1.234,NA,1.083,NA
2002-01-14,1.152,1.158,1.197,1.187,1.127,1.124,1.103,1.162,1.228,1.228,1.169,NA,NA,1.146,1.258,NA,1.092,NA
2002-01-21,1.146,1.146,1.198,1.183,1.104,1.116,1.091,1.168,1.242,1.251,1.163,NA,NA,1.142,1.26,NA,1.079,NA
2002-01-28,1.142,1.14,1.196,1.177,1.097,1.104,1.088,1.159,1.255,1.269,1.153,NA,NA,1.107,1.26,NA,1.073,NA
2002-02-04,1.157,1.139,1.193,1.173,1.1,1.147,1.087,1.15,1.271,1.295,1.146,NA,NA,1.128,1.255,NA,1.074,NA
2002-02-11,1.148,1.143,1.192,1.178,1.103,1.113,1.088,1.145,1.272,1.299,1.139,NA,NA,1.101,1.252,NA,1.079,NA
2002-02-18,1.157,1.144,1.197,1.178,1.104,1.125,1.1,1.142,1.29,1.331,1.137,NA,NA,1.143,1.248,NA,1.094,NA
2002-02-25,1.157,1.145,1.199,1.183,1.102,1.117,1.101,1.157,1.301,1.349,1.192,NA,NA,1.107,1.251,NA,1.097,NA
2002-03-04,1.185,1.151,1.203,1.185,1.111,1.184,1.113,1.159,1.323,1.378,1.187,NA,NA,1.205,1.254,NA,1.103,NA
2002-03-11,1.262,1.215,1.248,1.233,1.192,1.261,1.208,1.211,1.417,1.499,1.223,NA,NA,1.301,1.292,NA,1.206,NA
2002-03-18,1.328,1.288,1.315,1.302,1.27,1.336,1.262,1.287,1.465,1.545,1.294,NA,NA,1.382,1.359,NA,1.264,NA
2002-03-25,1.382,1.346,1.372,1.358,1.331,1.376,1.318,1.356,1.523,1.605,1.393,NA,NA,1.407,1.421,NA,1.321,NA
2002-04-01,1.412,1.381,1.403,1.397,1.364,1.403,1.338,1.407,1.558,1.638,1.403,NA,NA,1.45,1.464,NA,1.342,NA
2002-04-08,1.454,1.422,1.431,1.433,1.412,1.455,1.382,1.423,1.587,1.668,1.413,NA,NA,1.503,1.498,NA,1.381,NA
2002-04-15,1.446,1.433,1.45,1.452,1.415,1.408,1.389,1.432,1.59,1.664,1.42,NA,NA,1.428,1.531,NA,1.392,NA
2002-04-22,1.446,1.434,1.46,1.459,1.407,1.41,1.386,1.429,1.588,1.66,1.42,NA,NA,1.393,1.543,NA,1.383,NA
2002-04-29,1.435,1.429,1.461,1.46,1.397,1.384,1.378,1.438,1.584,1.654,1.445,NA,NA,1.395,1.542,NA,1.379,NA
2002-05-06,1.437,1.429,1.464,1.461,1.395,1.399,1.374,1.432,1.574,1.637,1.44,NA,NA,1.349,1.538,NA,1.378,NA
2002-05-13,1.431,1.422,1.459,1.46,1.384,1.396,1.367,1.423,1.562,1.621,1.426,NA,NA,1.35,1.547,NA,1.373,NA
2002-05-20,1.439,1.418,1.459,1.455,1.379,1.437,1.367,1.42,1.552,1.606,1.42,NA,NA,1.383,1.541,NA,1.371,NA
2002-05-27,1.429,1.414,1.458,1.453,1.373,1.409,1.363,1.431,1.552,1.602,1.414,NA,NA,1.372,1.538,NA,1.367,NA
2002-06-03,1.433,1.408,1.451,1.448,1.367,1.428,1.359,1.426,1.559,1.61,1.411,NA,NA,1.369,1.534,NA,1.369,NA
2002-06-10,1.417,1.402,1.448,1.446,1.357,1.386,1.349,1.418,1.558,1.61,1.4,NA,NA,1.327,1.528,NA,1.353,NA
2002-06-17,1.419,1.392,1.443,1.438,1.343,1.394,1.34,1.409,1.59,1.647,1.39,NA,NA,1.341,1.523,NA,1.343,NA
2002-06-24,1.425,1.394,1.435,1.439,1.349,1.401,1.335,1.431,1.607,1.665,1.386,NA,NA,1.344,1.519,NA,1.336,NA
2002-07-01,1.433,1.391,1.428,1.435,1.348,1.431,1.337,1.444,1.606,1.664,1.431,NA,NA,1.406,1.513,NA,1.335,NA
2002-07-08,1.423,1.39,1.426,1.434,1.347,1.402,1.333,1.446,1.603,1.66,1.442,NA,NA,1.374,1.511,NA,1.332,NA
2002-07-15,1.435,1.392,1.437,1.435,1.348,1.437,1.343,1.442,1.596,1.651,1.436,NA,NA,1.466,1.512,NA,1.335,NA
2002-07-22,1.451,1.42,1.459,1.465,1.375,1.448,1.36,1.499,1.588,1.639,1.498,NA,NA,1.516,1.539,NA,1.36,NA
2002-07-29,1.447,1.42,1.469,1.465,1.373,1.444,1.354,1.507,1.579,1.627,1.511,NA,NA,1.455,1.546,NA,1.354,NA
2002-08-05,1.437,1.423,1.48,1.474,1.369,1.398,1.356,1.506,1.589,1.642,1.507,NA,NA,1.451,1.559,NA,1.36,NA
2002-08-12,1.435,1.422,1.48,1.474,1.369,1.399,1.347,1.499,1.584,1.635,1.497,NA,NA,1.465,1.563,NA,1.349,NA
2002-08-19,1.434,1.417,1.482,1.472,1.358,1.405,1.353,1.492,1.578,1.629,1.48,NA,NA,1.412,1.561,NA,1.35,NA
2002-08-26,1.444,1.42,1.488,1.477,1.359,1.432,1.354,1.494,1.584,1.641,1.476,NA,NA,1.447,1.565,NA,1.355,NA
2002-09-02,1.436,1.419,1.486,1.477,1.358,1.403,1.354,1.488,1.587,1.647,1.465,NA,NA,1.46,1.566,NA,1.356,NA
2002-09-09,1.437,1.417,1.484,1.476,1.355,1.414,1.353,1.486,1.579,1.637,1.46,NA,NA,1.418,1.564,NA,1.354,NA
2002-09-16,1.442,1.422,1.482,1.479,1.364,1.427,1.362,1.481,1.572,1.628,1.453,NA,NA,1.449,1.565,NA,1.363,NA
2002-09-23,1.436,1.426,1.484,1.48,1.369,1.406,1.367,1.477,1.562,1.617,1.455,NA,NA,1.407,1.566,NA,1.371,NA
2002-09-30,1.455,1.445,1.489,1.488,1.4,1.44,1.389,1.482,1.554,1.607,1.472,NA,NA,1.477,1.575,NA,1.391,NA
2002-10-07,1.48,1.464,1.494,1.495,1.434,1.495,1.411,1.501,1.542,1.595,1.524,NA,NA,1.527,1.581,NA,1.415,NA
2002-10-14,1.481,1.463,1.495,1.495,1.431,1.503,1.42,1.508,1.53,1.582,1.517,NA,NA,1.562,1.581,NA,1.426,NA
2002-10-21,1.499,1.481,1.5,1.503,1.459,1.532,1.447,1.507,1.522,1.572,1.517,NA,NA,1.537,1.587,NA,1.449,NA
2002-10-28,1.485,1.478,1.509,1.503,1.45,1.495,1.443,1.507,1.518,1.568,1.523,NA,NA,1.565,1.592,NA,1.441,NA
2002-11-04,1.489,1.475,1.51,1.507,1.442,1.499,1.432,1.503,1.547,1.609,1.52,NA,NA,1.496,1.594,NA,1.428,NA
2002-11-11,1.48,1.477,1.532,1.522,1.429,1.461,1.42,1.496,1.569,1.638,1.507,NA,NA,1.486,1.61,NA,1.409,NA
2002-11-18,1.451,1.461,1.534,1.508,1.407,1.394,1.397,1.483,1.565,1.633,1.491,NA,NA,1.388,1.601,NA,1.383,NA
2002-11-25,1.423,1.446,1.525,1.502,1.384,1.338,1.376,1.464,1.551,1.616,1.47,NA,NA,1.363,1.6,NA,1.36,NA
2002-12-02,1.408,1.438,1.525,1.499,1.368,1.307,1.367,1.451,1.545,1.611,1.452,NA,NA,1.307,1.602,NA,1.349,NA
2002-12-09,1.404,1.428,1.52,1.496,1.353,1.322,1.357,1.432,1.528,1.589,1.426,NA,NA,1.334,1.6,NA,1.341,NA
2002-12-16,1.407,1.424,1.516,1.49,1.35,1.352,1.348,1.413,1.513,1.575,1.402,NA,NA,1.353,1.593,NA,1.332,NA
2002-12-23,1.443,1.458,1.518,1.516,1.398,1.422,1.384,1.421,1.508,1.569,1.411,NA,NA,1.425,1.605,NA,1.377,NA
2002-12-30,1.484,1.496,1.544,1.545,1.447,1.481,1.432,1.429,1.519,1.582,1.439,NA,NA,1.494,1.63,NA,1.428,NA
2003-01-06,1.487,1.509,1.556,1.557,1.46,1.449,1.445,1.451,1.55,1.627,1.5,NA,NA,1.429,1.647,NA,1.447,NA
2003-01-13,1.496,1.509,1.559,1.556,1.461,1.472,1.443,1.453,1.567,1.642,1.499,NA,NA,1.427,1.647,NA,1.442,NA
2003-01-20,1.502,1.51,1.559,1.555,1.463,1.469,1.45,1.454,1.598,1.682,1.495,NA,NA,1.443,1.644,NA,1.45,NA
2003-01-27,1.515,1.514,1.561,1.561,1.466,1.489,1.457,1.482,1.618,1.698,1.485,NA,NA,1.482,1.648,NA,1.461,NA
2003-02-03,1.569,1.564,1.597,1.599,1.53,1.555,1.514,1.526,1.658,1.731,1.519,NA,NA,1.546,1.679,NA,1.515,NA
2003-02-10,1.649,1.645,1.677,1.672,1.617,1.638,1.6,1.6,1.728,1.801,1.615,NA,NA,1.625,1.755,NA,1.601,NA
2003-02-17,1.701,1.678,1.721,1.702,1.648,1.695,1.624,1.661,1.833,1.909,1.663,NA,NA,1.701,1.793,NA,1.621,NA
2003-02-24,1.699,1.675,1.718,1.707,1.641,1.653,1.625,1.668,1.894,1.97,1.656,NA,NA,1.624,1.801,NA,1.617,NA
